FoodID	taxonomy	Main.food.description
12350000	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_Dip_sour_cream_base;L5_;Dip_sour_cream_base	Dip sour cream base
12350020	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_Dip_sour_cream_base;L5_;Dip_sour_cream_base_reduced_calorie	Dip sour cream base reduced calorie
12350100	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_Dip_sour_cream_base;L5_;Spinach_dip	Spinach dip
12350110	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_Dip_sour_cream_base;L5_;Spinach_and_artichoke_dip	Spinach and artichoke dip
13110000	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream;L5_;Ice_cream_NFS	Ice cream NFS
13110100	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream;L5_;Ice_cream_regular_flavors_other_than_chocolate	Ice cream regular flavors other than chocolate
13110110	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream;L5_;Ice_cream_regular_chocolate	Ice cream regular chocolate
13110120	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream;L5_;Ice_cream_rich_flavors_other_than_chocolate	Ice cream rich flavors other than chocolate
13110130	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream;L5_;Ice_cream_rich_chocolate	Ice cream rich chocolate
13110200	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream;L5_;Ice_cream_soft_serve_flavors_other_than_chocolate	Ice cream soft serve flavors other than chocolate
13110320	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream;L5_;Ice_cream_no_sugar_added_flavors_other_than_chocolate	Ice cream no sugar added flavors other than chocolate
13120050	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_bar_or_stick_not_chocolate_covered_or_cake_covered	Ice cream bar or stick not chocolate covered or cake covered
13120100	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_bar_or_stick_chocolate_covered	Ice cream bar or stick chocolate covered
13120121	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_bar_or_stick_rich_ice_cream_thick_chocolate_covering	Ice cream bar or stick rich ice cream thick chocolate covering
13120130	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_bar_or_stick_rich_ice_cream_chocolate_covered_with_nuts	Ice cream bar or stick rich ice cream chocolate covered with nuts
13120140	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_bar_or_stick_chocolate_ice_cream_chocolate_covered	Ice cream bar or stick chocolate ice cream chocolate covered
13120500	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_sandwich	Ice cream sandwich
13120710	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_cone_chocolate_covered_with_nuts_flavors_other_than_chocolate	Ice cream cone chocolate covered with nuts flavors other than chocolate
13120730	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_cone_no_topping_flavors_other_than_chocolate	Ice cream cone no topping flavors other than chocolate
